Slug,Prompt
lex-holloway,"A high-quality, professional 3D video game character render of a 35-year-old Australian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
harper-quibble,"A high-quality, professional 3D video game character render of a 44-year-old American White male film director, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
gunnar-slate,"A high-quality, professional 3D video game character render of a 51-year-old American White male film director, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
brock-stormer,"A high-quality, professional 3D video game character render of a 39-year-old American White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
nina-ross,"A high-quality, professional 3D video game character render of a 40-year-old American White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
amir-bassam,"A high-quality, professional 3D video game character render of a 40-year-old Jordanian Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
clara-voss,"A high-quality, professional 3D video game character render of a 40-year-old German White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
teo-silva,"A high-quality, professional 3D video game character render of a 40-year-old Brazilian Latino male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
min-ji-kang,"A high-quality, professional 3D video game character render of a 40-year-old Korean Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
rafael-cortez,"A high-quality, professional 3D video game character render of a 40-year-old Mexican Latino male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
soraya-malik,"A high-quality, professional 3D video game character render of a 40-year-old Indian Mixed female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
luca-bianchi,"A high-quality, professional 3D video game character render of a 40-year-old Italian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
valerie-kent,"A high-quality, professional 3D video game character render of a 40-year-old Canadian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
adele-noir,"A high-quality, professional 3D video game character render of a 40-year-old French White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
jalen-price,"A high-quality, professional 3D video game character render of a 40-year-old American Black male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
hugo-mercier,"A high-quality, professional 3D video game character render of a 40-year-old French White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
irina-kuznets,"A high-quality, professional 3D video game character render of a 40-year-old Ukrainian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
maia-ferreira,"A high-quality, professional 3D video game character render of a 40-year-old Portuguese White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
solomon-reed,"A high-quality, professional 3D video game character render of a 40-year-old American Black male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
elise-barnett,"A high-quality, professional 3D video game character render of a 40-year-old American White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
darius-wolfe,"A high-quality, professional 3D video game character render of a 40-year-old American Black male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
sofia-delmar,"A high-quality, professional 3D video game character render of a 40-year-old Spanish Latino female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
juno-kassai,"A high-quality, professional 3D video game character render of a 40-year-old Hungarian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
mikhail-antonov,"A high-quality, professional 3D video game character render of a 40-year-old Russian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
yasmin-kader,"A high-quality, professional 3D video game character render of a 40-year-old Turkish Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
enzo-mancini,"A high-quality, professional 3D video game character render of a 40-year-old Italian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
hannah-rivers,"A high-quality, professional 3D video game character render of a 40-year-old British White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
kai-nakamura,"A high-quality, professional 3D video game character render of a 40-year-old Japanese Asian male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
amara-nyambe,"A high-quality, professional 3D video game character render of a 40-year-old Kenyan Black female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
lucas-fairchild,"A high-quality, professional 3D video game character render of a 40-year-old Canadian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
naomi-levine,"A high-quality, professional 3D video game character render of a 40-year-old Israeli Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
tony-park,"A high-quality, professional 3D video game character render of a 40-year-old Korean Asian male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
celine-durand,"A high-quality, professional 3D video game character render of a 40-year-old French White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
mara-ostberg,"A high-quality, professional 3D video game character render of a 40-year-old Swedish White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
santiago-reyes,"A high-quality, professional 3D video game character render of a 40-year-old Colombian Latino male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
leila-bashir,"A high-quality, professional 3D video game character render of a 40-year-old Moroccan Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
patrick-stone,"A high-quality, professional 3D video game character render of a 40-year-old Australian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
ivy-chang,"A high-quality, professional 3D video game character render of a 40-year-old Chinese Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
emil-novak,"A high-quality, professional 3D video game character render of a 40-year-old Czech White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
noura-hassan,"A high-quality, professional 3D video game character render of a 40-year-old Egyptian Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
gabriel-souza,"A high-quality, professional 3D video game character render of a 40-year-old Brazilian Latino male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
sienna-marsh,"A high-quality, professional 3D video game character render of a 40-year-old American White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
rohan-singh,"A high-quality, professional 3D video game character render of a 40-year-old Indian Mixed male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
aurora-bennett,"A high-quality, professional 3D video game character render of a 40-year-old Canadian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
felix-ortiz,"A high-quality, professional 3D video game character render of a 40-year-old Mexican Latino male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
linnea-stahl,"A high-quality, professional 3D video game character render of a 40-year-old German White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
zara-abadi,"A high-quality, professional 3D video game character render of a 40-year-old Iranian Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
samuel-kent,"A high-quality, professional 3D video game character render of a 40-year-old British White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
aisha-mensah,"A high-quality, professional 3D video game character render of a 40-year-old Ghanaian Black female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
marco-gianni,"A high-quality, professional 3D video game character render of a 40-year-old Italian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
delia-estrada,"A high-quality, professional 3D video game character render of a 40-year-old Argentinian Latino female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
julian-crowe,"A high-quality, professional 3D video game character render of a 40-year-old American White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
mina-jafari,"A high-quality, professional 3D video game character render of a 40-year-old Iranian Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
tariq-sadiq,"A high-quality, professional 3D video game character render of a 40-year-old Pakistani Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
laila-qasem,"A high-quality, professional 3D video game character render of a 40-year-old Iraqi Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
pietro-lucchi,"A high-quality, professional 3D video game character render of a 40-year-old Italian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
grace-hawley,"A high-quality, professional 3D video game character render of a 40-year-old Australian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
oliver-bishop,"A high-quality, professional 3D video game character render of a 40-year-old British White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
hana-tanaka,"A high-quality, professional 3D video game character render of a 40-year-old Japanese Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
sergio-alonso,"A high-quality, professional 3D video game character render of a 40-year-old Spanish Latino male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
mia-kowalski,"A high-quality, professional 3D video game character render of a 40-year-old Polish White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
amina-rahman,"A high-quality, professional 3D video game character render of a 40-year-old Bangladeshi Mixed female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
noel-kapoor,"A high-quality, professional 3D video game character render of a 40-year-old Indian Mixed male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
keira-oshea,"A high-quality, professional 3D video game character render of a 40-year-old Irish White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
daichi-sato,"A high-quality, professional 3D video game character render of a 40-year-old Japanese Asian male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
bianca-romero,"A high-quality, professional 3D video game character render of a 40-year-old Mexican Latino female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
lucia-ibarra,"A high-quality, professional 3D video game character render of a 40-year-old Spanish Latino female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
hassan-elmasry,"A high-quality, professional 3D video game character render of a 40-year-old Egyptian Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
jonas-lind,"A high-quality, professional 3D video game character render of a 40-year-old Swedish White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
kendra-fitz,"A high-quality, professional 3D video game character render of a 40-year-old American White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
tomas-krall,"A high-quality, professional 3D video game character render of a 40-year-old Czech White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
samira-ali,"A high-quality, professional 3D video game character render of a 40-year-old Pakistani Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
deon-carter,"A high-quality, professional 3D video game character render of a 40-year-old American Black male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
chloe-marchand,"A high-quality, professional 3D video game character render of a 40-year-old French White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
anaya-patel,"A high-quality, professional 3D video game character render of a 40-year-old Indian Mixed female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
matthew-grant,"A high-quality, professional 3D video game character render of a 40-year-old Canadian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
helena-varga-actor,"A high-quality, professional 3D video game character render of a 40-year-old Hungarian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
talia-santos,"A high-quality, professional 3D video game character render of a 40-year-old Brazilian Latino female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
omar-alavi,"A high-quality, professional 3D video game character render of a 40-year-old Iranian Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
keiko-mori,"A high-quality, professional 3D video game character render of a 40-year-old Japanese Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
caleb-hart,"A high-quality, professional 3D video game character render of a 40-year-old British White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
sanaa-okoye,"A high-quality, professional 3D video game character render of a 40-year-old Nigerian Black female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
violet-pierce,"A high-quality, professional 3D video game character render of a 40-year-old American White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
rishi-menon,"A high-quality, professional 3D video game character render of a 40-year-old Indian Mixed male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
marisol-vega,"A high-quality, professional 3D video game character render of a 40-year-old Mexican Latino female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
eve-lam,"A high-quality, professional 3D video game character render of a 40-year-old Canadian Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
andrei-popescu,"A high-quality, professional 3D video game character render of a 40-year-old Romanian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
zahra-nasiri,"A high-quality, professional 3D video game character render of a 40-year-old Afghan Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
diego-santana,"A high-quality, professional 3D video game character render of a 40-year-old Spanish Latino male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
mira-sokolov,"A high-quality, professional 3D video game character render of a 40-year-old Russian White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
jonathan-banks,"A high-quality, professional 3D video game character render of a 40-year-old American White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
kofi-adjei,"A high-quality, professional 3D video game character render of a 40-year-old Ghanaian Black male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
soyeon-park,"A high-quality, professional 3D video game character render of a 40-year-old Korean Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
elena-rojas,"A high-quality, professional 3D video game character render of a 40-year-old Colombian Latino female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
niko-petrov,"A high-quality, professional 3D video game character render of a 40-year-old Bulgarian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
fatima-el-khoury,"A high-quality, professional 3D video game character render of a 40-year-old Lebanese Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
lars-nygard,"A high-quality, professional 3D video game character render of a 40-year-old Norwegian White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
maya-chen,"A high-quality, professional 3D video game character render of a 40-year-old Chinese Asian female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
tess-mccarthy,"A high-quality, professional 3D video game character render of a 40-year-old Irish White female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
israel-ben-david,"A high-quality, professional 3D video game character render of a 40-year-old Israeli Middle Eastern male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
priya-deshpande,"A high-quality, professional 3D video game character render of a 40-year-old Indian Mixed female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
lucien-morel,"A high-quality, professional 3D video game character render of a 40-year-old French White male film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
hana-al-sharif,"A high-quality, professional 3D video game character render of a 40-year-old Saudi Middle Eastern female film actor, plain flat grey background, close-up head and shoulders portrait of ONE single person, front-facing, neutral expression. Detailed skin texture, professional studio lighting.  Clean, stylized 3D video game character art. Solid dark grey background."
